"restaurant_name","place_id"
"The Curry Club London","ChIJtYG_3EWn2EcRWyBI_ED6D-U"
"HYDERABAD DARBAR","ChIJDXXoXBOn2EcRfjmS2gXVdfQ"
"Saravanaa Bhavan","ChIJI3tekPSm2EcRKigmUkBMsnI"
"Singam Bay","ChIJn6zYYWqn2EcRdQcKovaHRxQ"
"Veena's Virunthu","ChIJpQhTIBCn2EcR96ORL_foqBw"
"Royal Thali Restaurant","ChIJMfDQdbin2EcRNC7sVX2iUhM"
"Royal Nawaab","ChIJYY21W66n2EcRcGZNPoY41cY"
"NK Arya Bhavan Barkingside","ChIJvZm5Zomn2EcRaaMWhVyTm1k"
"Royale Spicy Dosa","ChIJ-7NV47mn2EcRpPEBlepo-Qc"
"Sahajanand Restaurant","ChIJz8uR77in2EcRhSpC-BPGl-g"
"Banana Leaf","ChIJ4_IP7Syn2EcR4NvP-efP54I"
"Yummy Dosa","ChIJHW95Q7an2EcRTtMQy-XzTBg"
"Haweli Restaurant","ChIJsTQT7Wam2EcRuWnri6bPzDE"
"Bahubali","ChIJo5WvV-qm2EcRNo9866UjH9o"
"Spice Restaurant","ChIJj6WSLK6m2EcRNRvI07S_Qv8"
"GK Lounge","ChIJS6aw1IGm2EcRqhPM3eFNzyY"
"Hyderabad Wala","ChIJCfLUeySn2EcRGf4QxLFyBgw"
"Hyderabad Darbar","ChIJJfMX6uqn2EcRuakJEwiueAM"
"Vijay's Virasat","ChIJmzMhv5mm2EcRmVGDN6aemOo"
"Colony Restaurant","ChIJg3A4ggKn2EcR59GWUoM_CQI"
"Saffron Street","ChIJbRa7LM2n2EcR__b_CaG7g_o"
"Jaipur of Chigwell","ChIJj5Ry_y6h2EcRMcxrRi4UxIM"
"Great Indian Food","ChIJ_0W-p0AddkgRWqvFJNs27bM"
"Spice Hut","ChIJzdDENBin2EcRw_sdSZX_RQE"
"Tabla Restaurant","ChIJ1b3ekYim2EcRMzz58GqZfdA"
"Asiatique","ChIJ3Rx4zCin2EcRE7Xj3Fm3j2s"
"Central Restaurant and Lounge","ChIJzc5xHSil2EcRSdLleD7Rf_M"
"Nosh","ChIJGee9OIqn2EcRDhXZWYbW3Qg"
"Ceylon Street Restaurant","ChIJ6YHjfp2l2EcREXBl1qBY9Ns"
"Punjabi Adda","ChIJfznFwOKh2EcR3msb1rW9wXk"
"The Avenue by Masala 910","ChIJOZDgLJ6m2EcRM5BWq3vbS5w"
"Punjab Grill Lounge","ChIJn-_0btWn2EcRloN0mW3asiA"
"Hey Ma Food","ChIJg2niZPih2EcRPs2KUGUUtHI"
"Caraway","ChIJjwqyy-um2EcRYQk-IE8tWVA"
"PANDYAS","ChIJC0WfUlWn2EcRUO1HaCltjfg"
"Panjab Street Food","ChIJQyi_pVWn2EcR7u2-FlejC8s"
"Citi Kitchen","ChIJL7HXauim2EcRLsy7pZepxpc"
"Hyderabadi Flavours","ChIJ8ZjSKQCn2EcRw8Fge5fuSMU"
"Kanchans","ChIJH83s_eqm2EcRpgz38ltRlf0"
"Kulcha Express®","ChIJCXzAQVSn2EcRTs-PKearKtQ"
"Naan Staap","ChIJvdCwat6n2EcRqcSX_MVkgQI"
"Royal Chef","ChIJr77cNgCn2EcRySCA9OehlN4"
"Mital’s Kitchen","ChIJO1EZLACn2EcReiL7fvqBKR8"
"Punjabi Tadka","ChIJ76O7kYim2EcRms90VkRgXAc"
"Al Qasr","ChIJdwx4i4Wm2EcRqs5RumVxT8Q"
"Punjabi Rasoi","ChIJGyUokTCk2EcRQGW_XzhGXAA"
"Muziris","ChIJdameDoKm2EcRtNPEnjzGJEk"
"Adchaya Bhavan","ChIJA9PBLoKn2EcRxtKXDXpylYs"
"Masala Hut","ChIJ0UxGdYWm2EcRDN8IStYkv7M"
"Clove Woodford","ChIJEzfPIBWh2EcRFon1nvmDGB4"
"Village Indiya","ChIJg5uazuCh2EcRfAfztbpMdtk"
"Temple","ChIJ1RLUKdCg2EcR1H1qhZO9y3I"
"Namak Restaurant","ChIJB3w71LSg2EcRxlUjWeOBkHc"
"Mohabir Restaurant","ChIJzVxA3LSg2EcRZVx_txF8mB0"
"Reesa London","ChIJ7UycI2Ch2EcRUv1mJzjaD4o"
"Heritage Indian Kitchen","ChIJJfWfSACn2EcRgvxENwwDmYE"
"Moj Spice Indian Takeaway","ChIJVeFMzNyn2EcRPUz2V5dYzq0"
"Bombay Spice","ChIJ-2405tSg2EcRbvrLFp3TvHw"
"The Coriander","ChIJrby447Sn2EcRWl2tt1XP_Y4"
"Jashan","ChIJJUt2t_obdkgRmrNcSsxRESM"
"Gandhi express","ChIJUV2hO-ih2EcRuOyDduSABwM"
"Purbani Tandoori","ChIJRXUyGaig2EcRwRS5ZEOEd_w"
"Masala Zone Earls Court","ChIJSXLapYwPdkgRtVISDMBW7Po"
"Village Masaleh","ChIJJx6QxhoEdkgR69qXbge-c0o"
"Papadoms Indian Takeaway","ChIJqzOR4zmn2EcRz85eoqhG-dU"
"Purbani","ChIJUfdGvhWn2EcRhUo3RRPe2Yw"
"Spice Village Tooting","ChIJ1TnjZ94FdkgRyn0dO5vTp_o"
"The Indian Brasserie","ChIJLXR88YSg2EcRGkaKrCOtMZI"
"The Voujon","ChIJk3pZoYWg2EcRELR9_pOUJrY"
"Saffron Kitchen","ChIJtYim-rwddkgRwxw23sq8bSU"
"Khushboo","ChIJQ_aIHNoddkgRdi77_WCa4Gg"
"Masala India","ChIJHcTA3_4ddkgRHAeFrxYULXY"
"Bhangra Beat Online","ChIJfwbsRzCn2EcRzR31XwLd2b8"
"Salaam Namaste","ChIJlQlH2jcbdkgR_k63M_bhvzU"
"Rasa N16","ChIJ5YzX_WMcdkgRMu9XceGWvpk"
"Shish Mahal","ChIJcxX1i40ddkgRbSGjVfUjSp0"
"The Lane","ChIJ98Lkjj6n2EcRHwbUCGfTxws"
"Leytonstone Spice","ChIJlXpCL3qn2EcRfIDekTmkEjg"
"Forest Tandoori Walthamstow","ChIJqY31YPcddkgRux2iNGWxvKM"
"The Tiffin Guru - Highgate","ChIJ7ygHAQYbdkgRnQibTXCJCCw"
"Monsoon Tandoori","ChIJyyWQkVOh2EcRlXBQ4uVnkLo"
"Dine More","ChIJ2_ovAU-n2EcRVfJzoyQz9_w"
"Star of India","ChIJn-LMB2-n2EcRnrxwrqCxAa4"
"Hichki Indian Restaurant","ChIJsxaTbWAddkgR-b_-qOdDlq0"
"Bengal Curry House","ChIJSwz4S8YddkgR7VMv4FAyUzo"
"Hyderabadi Biryani's (chocolate Villa)","ChIJ90_fwYIddkgRtF6sIA4uOyM"
"Vijay India Restaurant","ChIJj3pw3m0QdkgR2g5NGgDB-VQ"
"Lahore Xpress","ChIJw7oaG5MddkgRVsOa-HGmF5A"
"Kumba Curry and Grill","ChIJsTM1-8MddkgR8lW_lsjzkCA"
"Massala Indian takeaway","ChIJJx-EKWccdkgRHDuHMBdL0mM"
"Karak Chaii Leyton","ChIJPabjeL8ddkgRzGd0zRZCMJQ"
"Shri Lakshmi Foods","ChIJR0dEIFkddkgRWW4YPek63Qs"
"Miran Masala","ChIJjfrDAusPdkgRlTVSe7bthZA"
"Banana Leaf","ChIJX21G9Zmm2EcRo3dfAzhTXwM"
"Bindaas - The Indian Kitchen","ChIJU3mIYL4LdkgRwVJrWVjew_o"
"Namaste Kingston","ChIJpdywy-8LdkgRnGfjOQMuImE"
"MOKSHA - (Authentic Indian Restaurant & Bar)","ChIJkeDbSGQJdkgRHHle9dxJRnc"
"Spice Lodge Indian Takeaway","ChIJhTEyF-QLdkgRtMYx_lk7F6E"
"Roz Ana","ChIJYZI7okwJdkgR8VCISUP-Pyg"
"Tamil Cafe Restaurant","ChIJhfZpl70JdkgRSvIw6tw143U"
"Moidul's Hampton Wick Tandoori","ChIJL9q9zZULdkgRzrvjXZg0Eo4"
"Deea Bangladeshi Cuisine","ChIJvf5Sde0LdkgR_kJMpAwunVo"
"ANAR KITCHEN (Kingston)","ChIJA6dvBwQLdkgReyjojXYCr4s"
"Chakra (Kingston)","ChIJTUCIbLULdkgRpoxr7hqeOgI"
"Coco + Lime","ChIJRWmB6tkLdkgRxUAmvmk0Z5k"
"Indimax Dhaba Restaurant","ChIJH823l9YLdkgRrn7GGnJpS7k"
"Monty's, Nepalese Restaurant","ChIJIVC8VOoLdkgRoEfpp-LKswM"
"Ranya Restaurant","ChIJsZWR_-oLdkgRcO3Yl5V4ins"
"DELHI BY NATURE","ChIJLwjzOcMLdkgRfM6E2Y7hWUQ"
"Red Koyla - Indian Restaurant Teddington","ChIJmaQF_PILdkgR0axWtx5zieE"
"Koyal Indian Restaurant & Bar","ChIJVQxIAvELdkgRQeFOCJykxyU"
"Al-Amin","ChIJmbC6eOcLdkgRZrIi_4iOWOY"
